x,hor_1,hor_2,hor_3,hor_4
107,710.60004,827.5,850.79999,959.10004
108,709.79999,825.70001,850.20001,956.20001
109,709.20001,823.80005,849.90002,954.0
110,708.5,822.0,849.69995,952.59998
111,707.89996,820.40002,849.5,951.69995
112,707.40002,819.29999,849.30005,951.20001
113,707.0,818.79999,849.20001,951.0
114,706.60004,818.59998,849.20001,951.0
115,706.30005,818.59998,849.20001,951.20001
116,706.09998,818.59998,849.30005,951.5
117,705.90002,818.70001,849.5,951.79999
118,705.69995,818.79999,849.79999,952.09998
119,705.60004,819.0,850.09998,952.5
120,705.60004,819.29999,850.39996,952.79999
121,705.60004,819.59998,850.70001,953.20001
122,705.69995,819.80005,850.90002,953.70001
123,705.90002,819.89996,851.20001,954.29999
124,706.09998,820.10004,851.5,955.09998
125,706.39996,820.40002,851.89996,955.90002
126,706.70001,820.79999,852.29999,956.79999
127,707.0,821.20001,852.70001,957.5
128,707.29999,821.5,853.0,958.10004
129,707.59998,821.79999,853.20001,958.5
130,708.0,822.0,853.39996,958.89996
131,708.40002,822.20001,853.60004,959.10004
132,708.89996,822.39996,853.79999,959.20001
133,709.29999,822.90002,854.0,959.20001
134,709.70001,823.29999,854.20001,959.10004
135,710.0,823.70001,854.5,958.89996
136,710.39996,824.10004,854.79999,958.79999
137,710.79999,824.5,855.40002,958.70001
138,711.29999,824.89996,856.10004,958.59998
139,711.90002,825.20001,856.80005,958.5
140,712.40002,825.40002,857.40002,958.5
141,712.80005,825.5,857.79999,958.40002
142,713.19995,825.5,858.09998,958.29999
143,713.5,825.40002,858.20001,958.19995
144,713.79999,825.29999,858.20001,958.0
145,714.09998,825.09998,858.20001,957.79999
146,714.29999,825.0,858.20001,957.5
147,714.60004,824.89996,858.20001,957.29999
148,715.0,825.0,858.29999,957.0
149,715.30005,825.09998,858.39996,956.70001
150,715.60004,825.29999,858.60004,956.5
151,715.90002,825.40002,858.60004,956.39996
152,716.09998,825.40002,858.60004,956.20001
153,716.20001,825.29999,858.39996,956.0
154,716.20001,825.09998,858.09998,955.79999
155,716.20001,824.79999,857.79999,955.60004
156,716.20001,824.59998,857.40002,955.29999
157,716.20001,824.5,857.20001,955.09998
158,716.20001,824.5,857.0,954.90002
159,716.20001,824.5,857.0,954.79999
160,716.09998,824.59998,857.0,954.70001
161,716.0,824.59998,856.89996,954.59998
162,715.90002,824.5,856.70001,954.5
163,715.69995,824.10004,856.40002,954.29999
164,715.39996,823.59998,856.0,954.10004
165,715.20001,823.09998,855.59998,954.0
166,714.90002,822.5,855.29999,953.80005
167,714.5,822.09998,855.09998,953.59998
168,714.09998,821.90002,855.20001,953.5
169,713.79999,821.79999,855.40002,953.40002
170,713.5,821.69995,855.59998,953.40002
171,713.40002,821.60004,855.70001,953.5
172,713.19995,821.60004,855.79999,953.59998
173,713.0,821.60004,855.79999,953.59998
174,712.80005,821.69995,855.59998,953.70001
175,712.59998,821.69995,855.40002,953.70001
176,712.40002,821.60004,855.09998,953.80005
177,712.20001,821.60004,854.79999,953.89996
178,711.90002,821.60004,854.60004,953.89996
179,711.5,821.60004,854.39996,953.89996
180,711.20001,821.60004,854.30005,954.0
181,711.0,821.60004,854.20001,954.0
182,710.90002,821.69995,854.30005,954.10004
183,710.79999,822.09998,854.60004,954.40002
184,710.69995,822.5,855.0,954.79999
185,710.69995,822.79999,855.29999,955.0
186,710.60004,823.20001,855.5,955.09998
187,710.69995,823.40002,855.59998,955.0
188,710.69995,823.59998,855.5,954.70001
189,710.69995,823.70001,855.20001,954.29999
190,710.39996,823.80005,855.0,953.80005
191,710.0,823.80005,854.90002,953.40002
192,709.5,823.80005,854.79999,953.0
193,708.89996,823.70001,854.60004,952.5
194,708.40002,823.5,854.5,951.90002
195,707.70001,823.09998,854.39996,951.30005
196,706.90002,822.60004,854.30005,950.70001
197,706.20001,822.0,853.90002,950.0
198,705.5,821.30005,853.20001,949.40002
199,704.90002,820.59998,852.40002,949.0
200,704.29999,819.89996,851.70001,948.59998
201,703.70001,819.29999,851.20001,948.20001
202,703.0,819.10004,850.90002,947.60004
203,702.40002,819.10004,851.0,946.60004
204,701.79999,819.40002,851.20001,945.5
205,701.39996,819.70001,851.5,944.29999
206,701.09998,820.10004,851.89996,943.29999
207,700.70001,820.40002,852.19995,942.5
208,700.29999,820.5,852.5,942.20001
209,699.89996,820.5,852.79999,942.20001
210,699.59998,820.40002,853.0,942.39996
211,699.29999,820.29999,853.09998,942.60004
212,699.0,820.29999,853.09998,942.90002
213,698.70001,820.29999,853.09998,943.20001
214,698.29999,820.40002,853.0,943.40002
215,698.0,820.29999,852.79999,943.59998
216,697.70001,820.20001,852.5,943.70001
217,697.29999,820.10004,852.19995,943.89996
218,696.90002,820.10004,852.0,944.0
219,696.60004,820.20001,851.89996,944.0
220,696.20001,820.20001,851.80005,943.89996
221,695.79999,820.10004,851.70001,943.79999
222,695.5,819.89996,851.5,943.79999
223,695.20001,819.70001,851.40002,943.89996
224,694.89996,819.40002,851.20001,944.0
225,694.59998,819.0,851.0,944.10004
226,694.29999,818.70001,850.90002,944.29999
227,694.10004,818.40002,850.79999,944.59998
228,694.0,818.29999,850.70001,944.89996
229,693.79999,818.29999,850.70001,945.20001
230,693.70001,818.29999,850.70001,945.59998
231,693.5,818.29999,850.70001,945.79999
232,693.40002,818.09998,850.59998,946.09998
233,693.20001,817.79999,850.39996,946.30005
234,693.09998,817.39996,850.09998,946.5
235,693.09998,816.79999,849.79999,946.69995
236,693.0,816.39996,849.5,946.79999
237,692.90002,816.0,849.20001,947.0
238,692.79999,815.90002,849.0,947.20001
239,692.79999,815.79999,848.90002,947.29999
240,692.79999,815.79999,848.79999,947.39996
241,692.79999,815.79999,848.70001,947.39996
242,692.90002,816.0,848.79999,947.39996
243,692.90002,816.60004,849.20001,947.60004
244,693.0,817.30005,849.60004,947.70001
245,693.0,818.0,850.0,947.90002
246,693.09998,818.70001,850.29999,948.20001
247,693.0,819.0,850.5,948.59998
248,693.0,818.89996,850.29999,949.10004
249,692.79999,818.70001,850.09998,949.59998
250,692.60004,818.40002,850.0,950.0
251,692.39996,818.0,849.79999,950.40002
252,692.20001,817.79999,849.69995,950.5
253,692.0,817.70001,849.60004,950.5
254,691.79999,817.60004,849.5,950.40002
255,691.60004,817.60004,849.5,950.09998
256,691.5,817.60004,849.5,949.79999
257,691.5,817.70001,849.60004,949.19995
258,691.5,817.90002,849.69995,948.5
259,691.5,818.09998,849.90002,947.79999
260,691.60004,818.29999,850.09998,947.20001
261,691.69995,818.5,850.29999,946.69995
262,691.79999,818.59998,850.39996,946.39996
263,691.90002,818.70001,850.39996,946.30005
264,691.90002,818.59998,850.29999,946.39996
265,692.0,818.5,850.20001,946.5
266,692.0,818.29999,850.0,946.69995
267,692.0,818.09998,849.90002,946.79999
268,692.0,818.0,849.69995,946.79999
269,692.0,817.90002,849.5,946.79999
270,692.0,817.79999,849.30005,946.79999
271,691.90002,817.60004,849.09998,946.79999
272,691.90002,817.5,848.90002,946.79999
273,691.79999,817.39996,848.70001,946.60004
274,691.69995,817.20001,848.40002,946.39996
275,691.5,816.90002,848.0,946.20001
276,691.20001,816.39996,847.59998,945.90002
277,690.90002,815.90002,847.0,945.40002
278,690.59998,815.29999,846.59998,944.89996
279,690.29999,814.70001,846.09998,944.5
280,690.10004,814.10004,845.70001,944.0
281,689.89996,813.59998,845.30005,943.70001
282,689.80005,813.20001,845.0,943.29999
283,689.59998,813.0,844.79999,942.90002
284,689.59998,812.79999,844.69995,942.39996
285,689.5,812.60004,844.5,941.79999
286,689.40002,812.5,844.29999,941.09998
287,689.40002,812.39996,844.09998,940.29999
288,689.5,812.5,844.0,939.59998
289,689.59998,812.69995,843.90002,938.90002
290,689.80005,812.79999,843.90002,938.29999
291,690.0,813.0,843.90002,937.90002
292,690.40002,813.09998,843.90002,937.60004
293,690.70001,813.29999,843.90002,937.30005
294,691.09998,813.39996,843.90002,937.09998
295,691.39996,813.29999,843.79999,937.0
296,691.69995,813.20001,843.70001,937.0
297,691.79999,813.0,843.5,937.09998
298,691.90002,812.79999,843.20001,937.30005
299,691.79999,812.60004,842.80005,937.60004
300,691.69995,812.39996,842.40002,938.0
301,691.5,812.09998,842.0,938.29999
302,691.29999,811.60004,841.5,938.70001
303,691.0,810.79999,840.90002,939.20001
304,690.79999,809.89996,840.30005,939.80005
305,690.70001,809.0,839.5,940.29999
306,690.5,808.09998,838.90002,940.90002
307,690.5,807.60004,838.40002,941.29999
308,690.40002,807.5,838.40002,941.39996
309,690.5,807.69995,838.59998,941.39996
310,690.5,808.0,838.79999,941.39996
311,690.59998,808.30005,839.09998,941.39996
312,690.70001,808.5,839.29999,941.29999
313,690.90002,808.70001,839.39996,941.0
314,691.0,808.70001,839.5,940.59998
315,691.20001,808.70001,839.39996,940.10004
316,691.29999,808.60004,839.39996,939.70001
317,691.39996,808.5,839.29999,939.29999
318,691.29999,808.5,839.29999,938.90002
319,691.20001,808.5,839.20001,938.5
320,691.0,808.5,839.20001,938.29999
321,690.79999,808.5,839.09998,938.0
322,690.5,808.39996,839.0,937.79999
323,690.29999,808.20001,838.90002,937.5
324,690.0,807.90002,838.70001,937.09998
325,689.89996,807.60004,838.5,936.5
326,689.70001,807.20001,838.29999,935.89996
327,689.59998,806.90002,838.10004,935.19995
328,689.59998,806.59998,837.80005,934.5
329,689.59998,806.40002,837.59998,933.79999
330,689.5,806.29999,837.40002,933.20001
331,689.40002,806.10004,837.29999,932.69995
332,689.29999,805.89996,837.10004,932.20001
333,689.20001,805.70001,836.90002,931.70001
334,689.0,805.5,836.70001,931.20001
335,688.79999,805.29999,836.5,930.59998
336,688.59998,805.10004,836.39996,930.10004
337,688.5,805.0,836.39996,929.79999
338,688.5,805.40002,836.70001,929.59998
339,688.5,805.70001,837.10004,929.70001
340,688.5,806.10004,837.5,929.89996
341,688.70001,806.40002,837.89996,930.10004
342,688.90002,806.59998,838.29999,930.29999
343,689.20001,807.0,838.70001,930.5
344,689.5,807.29999,839.09998,930.59998
345,689.80005,807.60004,839.39996,930.70001
346,690.19995,807.90002,839.79999,930.80005
347,690.5,808.20001,840.0,930.80005
348,690.79999,808.5,840.09998,930.70001
349,691.0,808.70001,840.20001,930.59998
350,691.29999,808.90002,840.20001,930.5
351,691.60004,808.90002,840.20001,930.29999
352,691.79999,808.90002,840.30005,930.19995
353,692.0,809.0,840.20001,930.10004
354,692.20001,808.90002,840.09998,930.0
355,692.30005,808.90002,840.20001,929.89996
356,692.30005,808.79999,840.30005,929.89996
357,692.30005,808.79999,840.39996,930.0
358,692.20001,808.79999,840.60004,930.19995
359,692.09998,808.90002,840.90002,930.59998
360,692.0,809.0,841.09998,930.89996
361,691.79999,809.0,841.29999,931.29999
362,691.60004,808.90002,841.40002,931.70001
363,691.39996,808.79999,841.40002,932.20001
364,691.20001,808.5,841.29999,932.69995
365,691.0,808.30005,841.29999,933.39996
366,690.79999,808.0,841.29999,934.09998
367,690.70001,807.90002,841.29999,934.80005
368,690.59998,808.09998,841.40002,935.5
369,690.59998,808.30005,841.40002,936.0
370,690.70001,808.60004,841.40002,936.40002
371,690.90002,808.90002,841.40002,936.79999
372,691.0,809.20001,841.5,937.09998
373,691.29999,809.59998,841.79999,937.30005
374,691.5,810.10004,842.19995,937.69995
375,691.90002,810.70001,842.70001,938.09998
376,692.39996,811.20001,843.29999,938.59998
377,692.90002,811.70001,844.0,939.20001
378,693.40002,812.39996,844.79999,940.0
379,694.0,813.0,845.5,940.70001
380,694.5,813.39996,846.20001,941.39996
381,694.89996,813.59998,846.70001,942.09998
382,695.29999,813.59998,846.89996,942.70001
383,695.70001,813.59998,847.0,943.40002
384,695.90002,813.5,846.89996,944.19995
385,696.09998,813.29999,846.70001,945.10004
386,696.20001,813.20001,846.5,945.90002
387,696.20001,813.09998,846.40002,946.5
388,696.30005,813.09998,846.5,946.79999
389,696.30005,813.20001,846.59998,946.90002
390,696.20001,813.20001,846.59998,946.79999
391,696.09998,813.20001,846.70001,946.69995
392,696.0,813.09998,846.59998,946.30005
393,695.90002,813.09998,846.40002,945.90002
394,695.70001,813.0,846.20001,945.29999
395,695.5,812.79999,845.90002,944.59998
396,695.40002,812.60004,845.60004,943.70001
397,695.20001,812.39996,845.39996,942.79999
398,695.0,812.39996,845.39996,942.0
399,694.89996,812.39996,845.39996,941.20001
400,694.89996,812.39996,845.39996,940.5
401,694.80005,812.39996,845.5,939.89996
402,694.80005,812.5,845.60004,939.5
403,694.80005,812.60004,845.79999,939.20001
404,694.70001,812.60004,845.90002,939.0
405,694.59998,812.69995,846.09998,938.70001
406,694.5,812.79999,846.29999,938.39996
407,694.5,812.79999,846.40002,938.09998
408,694.40002,812.79999,846.29999,937.90002
409,694.5,812.79999,846.20001,937.69995
410,694.5,812.69995,846.09998,937.60004
411,694.59998,812.60004,846.0,937.39996
412,694.59998,812.60004,845.90002,937.20001
413,694.70001,812.69995,846.0,937.0
414,694.80005,812.79999,846.0,936.79999
415,694.80005,812.79999,846.0,936.40002
416,694.80005,812.69995,845.90002,936.0
417,694.80005,812.5,845.79999,935.70001
418,694.70001,812.30005,845.60004,935.40002
419,694.59998,812.09998,845.39996,935.10004
420,694.40002,811.70001,845.20001,934.89996
421,694.19995,811.40002,844.90002,934.70001
422,693.89996,811.09998,844.69995,934.5
423,693.70001,811.0,844.39996,934.29999
424,693.40002,810.89996,844.20001,934.09998
425,693.20001,810.70001,844.0,933.90002
426,693.0,810.59998,843.70001,933.60004
427,692.79999,810.5,843.59998,933.30005
428,692.70001,810.5,843.70001,933.0
429,692.60004,810.5,843.90002,932.69995
430,692.5,810.59998,844.09998,932.5
431,692.5,810.70001,844.20001,932.29999
432,692.60004,810.79999,844.39996,932.20001
433,692.79999,811.09998,844.5,932.0
434,692.90002,811.40002,844.60004,931.90002
435,693.09998,811.70001,844.69995,931.79999
436,693.20001,812.0,844.79999,931.59998
437,693.29999,812.09998,844.79999,931.40002
438,693.40002,812.09998,844.69995,931.29999
439,693.40002,812.0,844.5,931.29999
440,693.40002,811.70001,844.29999,931.20001
441,693.40002,811.5,844.09998,931.20001
442,693.40002,811.40002,844.0,931.20001
443,693.29999,811.70001,844.0,931.29999
444,693.29999,812.09998,844.0,931.5
445,693.29999,812.5,844.0,931.59998
446,693.40002,813.0,844.0,931.59998
447,693.40002,813.29999,844.09998,931.5
448,693.29999,813.5,844.39996,931.29999
449,693.20001,813.59998,844.79999,931.0
450,693.20001,813.5,845.0,930.70001
451,693.09998,813.29999,845.09998,930.5
452,692.90002,813.09998,845.20001,930.29999
453,692.79999,812.90002,845.09998,930.10004
454,692.60004,812.60004,845.09998,930.10004
455,692.39996,812.30005,845.0,930.19995
456,692.30005,812.09998,844.90002,930.40002
457,692.30005,811.90002,845.09998,930.89996
458,692.30005,812.0,845.39996,931.70001
459,692.39996,812.20001,845.79999,932.60004
460,692.5,812.39996,846.29999,933.39996
461,692.60004,812.69995,846.70001,934.20001
462,692.79999,812.90002,847.0,934.80005
463,692.90002,813.09998,847.10004,935.29999
464,693.0,813.20001,847.19995,935.79999
465,693.09998,813.39996,847.19995,936.29999
466,693.29999,813.5,847.19995,936.79999
467,693.29999,813.70001,847.29999,937.39996
468,693.40002,813.90002,847.40002,938.0
469,693.5,814.0,847.59998,938.5
470,693.59998,814.20001,847.79999,939.0
471,693.70001,814.40002,847.89996,939.5
472,693.79999,814.5,848.10004,939.80005
473,693.89996,814.59998,848.10004,940.0
474,694.10004,814.70001,848.20001,940.19995
475,694.19995,814.80005,848.20001,940.59998
476,694.29999,814.80005,848.20001,941.09998
477,694.5,814.80005,848.20001,941.60004
478,694.59998,814.80005,848.10004,941.79999
479,694.70001,814.80005,847.89996,942.0
480,694.80005,814.70001,847.79999,942.20001
481,694.89996,814.5,847.70001,942.39996
482,694.89996,814.29999,847.59998,942.70001
483,694.89996,814.29999,847.59998,943.09998
484,694.89996,814.29999,847.59998,943.79999
485,694.89996,814.29999,847.70001,944.59998
486,694.80005,814.20001,847.79999,945.59998
487,694.80005,814.10004,847.89996,946.69995
488,694.70001,814.20001,847.89996,947.79999
489,694.59998,814.20001,847.89996,948.80005
490,694.5,814.20001,847.89996,949.59998
491,694.40002,814.10004,847.79999,950.20001
492,694.40002,814.0,847.79999,950.60004
493,694.29999,814.0,847.89996,950.70001
494,694.19995,813.90002,847.89996,950.70001
495,694.10004,813.70001,847.89996,950.70001
496,694.0,813.5,847.79999,950.60004
497,693.89996,813.29999,847.70001,950.5
498,693.70001,813.29999,847.59998,950.5
499,693.5,813.29999,847.5,950.5
500,693.29999,813.39996,847.29999,950.5
501,693.20001,813.39996,847.19995,950.70001
502,693.0,813.39996,847.10004,951.30005
503,692.90002,813.5,847.10004,952.59998
504,692.70001,813.39996,847.19995,954.29999
505,692.70001,813.39996,847.10004,956.20001
506,692.60004,813.39996,847.10004,957.70001
507,692.60004,813.29999,846.89996,958.70001
508,692.70001,813.29999,846.89996,958.70001
509,692.70001,813.20001,846.80005,958.10004
510,692.70001,813.20001,846.59998,957.09998
511,692.70001,813.09998,846.5,955.90002
512,692.70001,813.0,846.40002,954.70001
513,692.60004,812.90002,846.09998,953.40002
514,692.5,812.60004,845.90002,952.0
515,692.39996,812.30005,845.60004,950.5
516,692.30005,811.90002,845.30005,948.89996
517,692.20001,811.60004,845.0,947.60004
518,692.09998,811.5,844.69995,946.60004
519,692.0,811.40002,844.60004,945.90002
520,691.90002,811.29999,844.39996,945.59998
521,691.79999,811.20001,844.39996,945.59998
522,691.69995,811.0,844.29999,945.79999
523,691.60004,810.89996,844.20001,946.30005
524,691.5,810.70001,844.09998,947.0
525,691.39996,810.40002,844.09998,947.79999
526,691.29999,810.19995,844.0,948.70001
527,691.29999,810.10004,844.0,949.5
528,691.29999,810.19995,844.0,950.09998
529,691.20001,810.40002,843.90002,950.5
530,691.20001,810.59998,844.0,950.79999
531,691.29999,810.79999,844.0,951.0
532,691.39996,811.09998,844.09998,951.0
533,691.5,811.40002,844.29999,951.09998
534,691.60004,811.70001,844.60004,951.09998
535,691.69995,812.0,844.90002,951.20001
536,691.69995,812.20001,845.20001,951.20001
537,691.69995,812.39996,845.5,951.30005
538,691.69995,812.60004,845.70001,951.39996
539,691.60004,812.69995,845.90002,951.5
540,691.5,812.79999,846.0,951.60004
541,691.39996,812.69995,846.09998,951.69995
542,691.29999,812.69995,846.20001,951.5
543,691.29999,812.79999,846.09998,951.20001
544,691.20001,812.90002,846.0,950.70001
545,691.20001,813.0,845.90002,950.0
546,691.20001,812.90002,845.79999,949.29999
547,691.29999,812.90002,845.79999,948.5
548,691.5,813.0,845.79999,947.90002
549,691.60004,813.09998,845.79999,947.39996
550,691.79999,813.09998,845.79999,946.90002
551,692.0,813.09998,845.90002,946.60004
552,692.20001,813.20001,846.0,946.5
553,692.39996,813.29999,845.90002,946.5
554,692.60004,813.39996,845.90002,946.60004
555,692.79999,813.59998,845.79999,946.79999
556,693.0,813.90002,845.79999,947.09998
557,693.09998,814.20001,845.90002,947.5
558,693.29999,814.40002,846.09998,947.90002
559,693.40002,814.59998,846.29999,948.29999
560,693.40002,814.80005,846.5,948.70001
561,693.5,814.89996,846.70001,949.0
562,693.5,814.89996,846.80005,949.19995
563,693.5,815.0,846.80005,949.40002
564,693.5,815.0,846.70001,949.40002
565,693.5,815.0,846.59998,949.40002
566,693.40002,814.89996,846.5,949.40002
567,693.29999,814.80005,846.40002,949.5
568,693.20001,814.70001,846.29999,949.5
569,693.09998,814.5,846.09998,949.59998
570,693.09998,814.29999,846.0,949.59998
571,693.20001,814.20001,846.0,949.70001
572,693.20001,814.10004,845.90002,949.70001
573,693.29999,814.10004,846.0,949.79999
574,693.40002,814.20001,846.09998,949.79999
575,693.40002,814.29999,846.20001,949.79999
576,693.5,814.5,846.40002,949.70001
577,693.5,814.59998,846.40002,949.5
578,693.5,814.70001,846.29999,949.19995
579,693.5,814.80005,846.20001,948.80005
580,693.40002,814.89996,846.0,948.40002
581,693.40002,814.89996,845.90002,948.09998
582,693.40002,814.80005,845.79999,947.70001
583,693.40002,814.80005,845.70001,947.29999
584,693.40002,814.70001,845.70001,946.79999
585,693.40002,814.59998,845.70001,946.30005
586,693.40002,814.5,845.90002,945.90002
587,693.5,814.59998,846.09998,945.59998
588,693.59998,815.0,846.29999,945.40002
589,693.79999,815.5,846.59998,945.40002
590,694.0,816.0,846.80005,945.5
591,694.19995,816.5,847.10004,945.59998
592,694.40002,816.79999,847.29999,945.70001
593,694.70001,816.90002,847.40002,945.79999
594,694.89996,816.79999,847.5,945.79999
595,695.10004,816.79999,847.70001,945.79999
596,695.40002,816.79999,847.79999,945.79999
597,695.59998,816.90002,847.89996,945.70001
598,695.79999,817.20001,848.0,945.5
599,696.0,817.39996,848.0,945.29999
600,696.09998,817.60004,847.89996,945.0
601,696.30005,817.70001,847.79999,944.89996
602,696.39996,817.70001,847.70001,944.80005
603,696.5,817.70001,847.70001,944.89996
604,696.69995,817.5,847.79999,945.0
605,696.90002,817.30005,847.79999,945.20001
606,697.09998,817.20001,847.79999,945.20001
607,697.29999,817.20001,847.89996,945.10004
608,697.5,817.39996,848.10004,944.80005
609,697.79999,817.70001,848.40002,944.5
610,698.09998,818.09998,848.70001,944.0
611,698.40002,818.40002,848.90002,943.40002
612,698.80005,818.70001,849.09998,942.70001
613,699.10004,819.0,849.20001,941.79999
614,699.40002,819.19995,849.30005,940.70001
615,699.70001,819.40002,849.39996,939.40002
616,700.09998,819.5,849.69995,938.0
617,700.29999,819.59998,850.0,936.70001
618,700.60004,819.89996,850.39996,935.79999
619,700.70001,820.0,850.79999,935.19995
620,700.90002,820.20001,851.10004,934.70001
621,701.0,820.20001,851.40002,934.5
622,701.0,820.29999,851.5,934.20001
623,701.09998,820.5,851.5,934.0
624,701.20001,820.59998,851.40002,933.5
625,701.30005,820.90002,851.29999,932.90002
626,701.5,821.09998,851.0,932.20001
627,701.69995,821.5,850.90002,931.20001
628,702.09998,821.79999,851.5,930.10004
629,702.40002,822.09998,852.0,929.0
630,702.70001,822.29999,852.5,928.0
631,702.89996,822.39996,852.79999,927.09998
632,703.10004,822.5,853.09998,926.29999
633,703.20001,823.0,853.29999,925.80005
634,703.29999,823.5,853.5,925.40002
635,703.40002,824.0,853.5,925.0
636,703.29999,824.40002,853.39996,924.59998
637,703.20001,824.70001,853.29999,924.39996
638,703.0,824.79999,853.09998,924.5
639,702.79999,824.79999,852.90002,924.79999
640,702.59998,824.79999,852.70001,925.10004
641,702.29999,824.79999,852.5,925.29999
642,702.09998,824.70001,852.19995,925.5
643,702.0,824.29999,851.80005,925.59998
644,701.90002,824.0,851.40002,925.80005
645,701.79999,823.59998,851.0,926.19995
646,701.69995,823.29999,850.5,926.70001
647,701.60004,823.09998,850.20001,927.60004
648,701.5,823.20001,850.09998,929.0
649,701.39996,823.29999,850.09998,930.40002
650,701.20001,823.5,850.09998,931.79999
651,701.20001,823.70001,850.20001,933.0
652,701.09998,823.89996,850.29999,934.09998
653,701.0,824.19995,850.70001,935.29999
654,700.90002,824.5,851.29999,936.5
655,700.79999,824.70001,851.89996,937.69995
656,700.79999,824.89996,852.59998,938.79999
657,700.70001,825.09998,853.0,939.59998
658,700.70001,825.09998,853.09998,940.10004
659,700.60004,825.09998,853.0,940.29999
660,700.5,825.0,852.79999,940.29999
661,700.40002,824.79999,852.59998,940.19995
662,700.20001,824.59998,852.40002,940.10004
663,699.89996,824.5,852.29999,939.89996
664,699.59998,824.40002,852.29999,939.70001
665,699.40002,824.19995,852.19995,939.59998
666,699.19995,824.10004,852.19995,939.59998
667,699.0,824.0,852.29999,939.80005
668,698.80005,824.10004,852.5,940.19995
669,698.70001,824.19995,852.59998,940.59998
670,698.70001,824.40002,852.79999,941.09998
671,698.70001,824.5,853.0,941.5
672,698.70001,824.70001,853.20001,942.0
673,698.80005,824.79999,853.39996,942.60004
674,699.0,824.89996,853.5,943.29999
675,699.19995,824.89996,853.70001,944.10004
676,699.40002,824.89996,853.79999,944.89996
677,699.5,824.79999,853.90002,945.5
678,699.70001,825.0,853.90002,945.90002
679,699.79999,825.09998,854.0,946.09998
680,699.89996,825.20001,853.90002,946.09998
681,699.89996,825.20001,853.90002,946.0
682,699.79999,825.20001,854.0,945.79999
683,699.70001,825.0,854.0,945.70001
684,699.59998,824.79999,854.0,945.59998
685,699.40002,824.5,854.09998,945.40002
686,699.19995,824.10004,854.09998,945.20001
687,699.0,823.89996,854.20001,944.89996
688,698.89996,824.10004,854.30005,944.70001
689,698.80005,824.40002,854.30005,944.59998
690,698.89996,824.70001,854.39996,944.5
691,699.19995,825.0,854.5,944.5
692,699.5,825.09998,854.70001,944.59998
693,699.89996,825.5,855.09998,944.5
694,700.40002,825.79999,855.59998,944.5
695,700.79999,826.0,856.10004,944.59998
696,701.30005,826.20001,856.70001,944.70001
697,701.79999,826.30005,857.10004,944.89996
698,702.20001,826.60004,857.29999,945.10004
